Description,Bridge Item,Part Number,W,L,Color,Edge,Material Charge,Total Charge
"Door,23.875 x 72 Windswept WINDSWEPT BRONZE",WXL Door,810306,23.875,,WINDSWEPT BRONZE,WINDSWEPT BRONZE,29.02
"Door,23.875 x 72 Windswept WINDSWEPT PEWTER",WXL Door,830306,23.875,,WINDSWEPT PEWTER,WINDSWEPT PEWTER,29.02
"Door,23.875 x 78 Granite",Powder Coated Door,880307a,23.875,,,,51.26
"Door,23.875 x 78 HARDROCK MAPLE",WXL Door,800307,23.875,,HARDROCK MAPLE,HARDROCK MAPLE,24.99
"Door,23.875 x 78 Red",Powder Coated Door,880307b,23.875,,,,51.26
"Door,23.875 x 78 White",WXL Door,820307,23.875,,WHITE,WHITE,20.67
"Door,23.875 x 78 Windswept WINDSWEPT BRONZE",WXL Door,810307,23.875,,WINDSWEPT BRONZE,WINDSWEPT BRONZE,31.37
"Door,23.875 x 78 Windswept WINDSWEPT PEWTER",WXL Door,830307,23.875,,WINDSWEPT PEWTER,WINDSWEPT PEWTER,31.37
"Door,23.875 x 84 Granite",Powder Coated Door,880308a,23.875,,,,53.16
"Door,23.875 x 84 HARDROCK MAPLE",WXL Door,800308,23.875,,HARDROCK MAPLE,HARDROCK MAPLE,26.89
"Door,23.875 x 84 Red",Powder Coated Door,880308b,23.875,,,,53.16
"Door,23.875 x 84 White",WXL Door,820308,23.875,,WHITE,WHITE,22.25
"Door,23.875 x 84 Windswept WINDSWEPT BRONZE",WXL Door,810308,23.875,,WINDSWEPT BRONZE,WINDSWEPT BRONZE,33.73
"Door,23.875 x 84 Windswept WINDSWEPT PEWTER",WXL Door,830308,23.875,,WINDSWEPT PEWTER,WINDSWEPT PEWTER,33.73
"Door,23.875 x 90 HARDROCK MAPLE",WXL Door,800309,23.875,,HARDROCK MAPLE,HARDROCK MAPLE,28.79
"Door,23.875 x 90 White",WXL Door,820309,23.875,,WHITE,WHITE,23.83
"Door,23.875 x 90 Windswept WINDSWEPT BRONZE",WXL Door,810309,23.875,,WINDSWEPT BRONZE,WINDSWEPT BRONZE,36.08
"Door,23.875 x 90 Windswept WINDSWEPT PEWTER",WXL Door,830309,23.875,,WINDSWEPT PEWTER,WINDSWEPT PEWTER,36.08
"Door,Blind Panel 21.8125 x 23 HARDROCK MAPLE",WXL Door,801307,12.8125,,HARDROCK MAPLE,HARDROCK MAPLE,14.07
"Door,Blind Panel 21.8125 x 23 White",WXL Door,821307,12.8125,,WHITE,WHITE,8.55
"Door,Blind Panel 21.8125 x 23 Windswept WINDSWEPT BRONZE",WXL Door,811307,12.8125,,WINDSWEPT BRONZE,WINDSWEPT BRONZE,15.50
"Door,Blind Panel 21.8125 x 23 Windswept WINDSWEPT PEWTER",WXL Door,831307,12.8125,,WINDSWEPT PEWTER,WINDSWEPT PEWTER,15.50
"Door,Blind Panel 21.8125 x 30.75 HARDROCK MAPLE",WXL Door,801308,12.8125,,HARDROCK MAPLE,HARDROCK MAPLE,16.49
"Door,Blind Panel 21.8125 x 30.75 White",WXL Door,821308,12.8125,,WHITE,WHITE,10.98
"Door,Blind Panel 21.8125 x 30.75 Windswept WINDSWEPT BRONZE",WXL Door,811308,12.8125,,WINDSWEPT BRONZE,WINDSWEPT BRONZE,18.60
"Door,Blind Panel 21.8125 x 30.75 Windswept WINDSWEPT PEWTER",WXL Door,831308,12.8125,,WINDSWEPT PEWTER,WINDSWEPT PEWTER,18.60
"Door,Blind Panel 21.8125 x 78 HARDROCK MAPLE",WXL Door,801304,12.8125,,HARDROCK MAPLE,HARDROCK MAPLE,28.25
"Door,Blind Panel 21.8125 x 78 White",WXL Door,821304,12.8125,,WHITE,WHITE,20.67
"Door,Blind Panel 21.8125 x 78 Windswept WINDSWEPT BRONZE",WXL Door,811304,12.8125,,WINDSWEPT BRONZE,WINDSWEPT BRONZE,32.60
"Door,Blind Panel 21.8125 x 78 Windswept WINDSWEPT PEWTER",WXL Door,831304,12.8125,,WINDSWEPT PEWTER,WINDSWEPT PEWTER,32.60
"Door,Blind Panel 21.8125 x 84 HARDROCK MAPLE",WXL Door,801305,12.8125,,HARDROCK MAPLE,HARDROCK MAPLE,28.25
"Door,Blind Panel 21.8125 x 84 White",WXL Door,821305,12.8125,,WHITE,WHITE,22.25
"Door,Blind Panel 21.8125 x 84 Windswept WINDSWEPT BRONZE",WXL Door,811305,12.8125,,WINDSWEPT BRONZE,WINDSWEPT BRONZE,32.60
"Door,Blind Panel 21.8125 x 84 Windswept WINDSWEPT PEWTER",WXL Door,831305,12.8125,,WINDSWEPT PEWTER,WINDSWEPT PEWTER,32.60
"Door,Blind Panel 21.8125 x 90 HARDROCK MAPLE",WXL Door,801306,12.8125,,HARDROCK MAPLE,HARDROCK MAPLE,30.56
"Door,Blind Panel 21.8125 x 90 White",WXL Door,821306,12.8125,90,WHITE,WHITE,23.83
