 id  ,                                name                                ,                            description                             , sku , units ,      dvinci_id      ,  cutrite_id  ,         created_at         ,         updated_at         
128," NX Tall Cabinet, 21D-83H-2DoorTall                          ","NX Tall Cabinet, 2Door",,, 007.402.482.x.000   ,NX-T2-3AS,10/29/2010 23:07:54,10/29/2010 23:07:54
120," NX Tall Cabinet, 24D-83H-2DoorTall                          ","NX Tall Cabinet, 2Door",,, 007.402.483.x.000   ,NX-T2-3AS,10/29/2010 23:07:53,10/29/2010 23:07:53
135," NX Tall Cabinet, 17D-91H-2DoorTall                          ","NX Tall Cabinet, 2Door",,, 007.402.491.x.000   ,NX-T2-3AS,10/29/2010 23:07:55,10/29/2010 23:07:55
127," NX Tall Cabinet, 21D-91H-2DoorTall                          ","NX Tall Cabinet, 2Door",,, 007.402.492.x.000   ,NX-T2-3AS,10/29/2010 23:07:54,10/29/2010 23:07:54
119," NX Tall Cabinet, 24D-91H-2DoorTall                          ","NX Tall Cabinet, 2Door",,, 007.402.493.x.000   ,NX-T2-3AS,10/29/2010 23:07:53,10/29/2010 23:07:53
164," NX Wall Cabinet, 23H-1DoorUpper                            ","NX Wall Cabinet, 1Door",,, 007.301.420.x.000   ,NX-W1-1AS,10/29/2010 23:08:01,10/29/2010 23:08:01
162," NX Wall Cabinet, 23H-2DoorUpper                            ","NX Wall Cabinet, 2Door",,, 007.302.420.x.000   ,NX-W2-1AS,10/29/2010 23:08:01,10/29/2010 23:08:01
163," NX Wall Cabinet, 30H-1DoorUpper                            ","NX Wall Cabinet, 1Door",,, 007.301.430.x.000   ,NX-W1-1AS,10/29/2010 23:08:01,10/29/2010 23:08:01
161," NX Wall Cabinet, 30H-2DoorUpper                            ","NX Wall Cabinet, 2Door",,, 007.302.430.x.000   ,NX-W2-1AS,10/29/2010 23:08:00,10/29/2010 23:08:00
212, Pan Head Screw (3/4 x # 8)                                         ,Pan Head Screw (3/4 x # 8)                                         ,,, 000.010.083.965.000 ,,10/29/2010 23:08:17,10/29/2010 23:08:17
260, Pole Cups (L/R pair)                                               ,Pole Cups (L/R pair)                                               ,,, 000.995.000.x.000   ,,10/29/2010 23:08:33,10/29/2010 23:35:51
53,  Adjustable Safety Shelf (12x12)                                ,Adjustable Safety Shelf                             ,,, 000.935.920.x.000   ,CL-SS,10/29/2010 23:05:46,10/29/2010 23:05:46
59,"  Adjustable Safety Shelf, (12x14)                               ",Adjustable Safety Shelf,,, 000.935.921.x.000   ,CL-SS,10/29/2010 23:05:48,10/29/2010 23:05:48
65,"  Adjustable Safety Shelf, (12x16)                               ",Adjustable Safety Shelf,,, 000.935.922.x.000   ,CL-SS,10/29/2010 23:05:49,10/29/2010 23:05:49
71,"  Adjustable Safety Shelf, (12x20)                               ",Adjustable Safety Shelf,,, 000.935.923.x.000   ,CL-SS,10/29/2010 23:05:51,10/29/2010 23:05:51
77,"  Adjustable Safety Shelf, (12x24)                               ",Adjustable Safety Shelf,,, 000.935.924.x.000   ,CL-SS,10/29/2010 23:05:52,10/29/2010 23:05:52
54,"  Adjustable Safety Shelf, (18x12)                               ",Adjustable Safety Shelf,,, 000.935.980.x.000   ,CL-SS,10/29/2010 23:05:47,10/29/2010 23:05:47
60,"  Adjustable Safety Shelf, (18x14)                               ",Adjustable Safety Shelf,,, 000.935.981.x.000   ,CL-SS,10/29/2010 23:05:48,10/29/2010 23:05:48
