PartID,CatalogID,PartString,Description - Updated 11/11/10,Quantity, Price ,Labor,Lin Ft Price, Item Price ,SuppressInBom,BulkPriced,HideInBom,SpecialFlags,Weight,Image
100004183,4,000.935.921.006.00M,"Adjustable Safety Shelf, (12x14), Mahogany Impressions",1,11.9,0.025,,,FALSE,FALSE,0,"CutV,CutD",4,100001385
100004184,4,000.935.981.006.00M,"Adjustable Safety Shelf, (18x14), Mahogany Impressions",1,16.42,0.025,,,FALSE,FALSE,0,"CutV,CutD",5,100001385
100004185,4,000.935.011.006.00M,"Adjustable Safety Shelf, (24x14), Mahogany Impressions",1,22.45,0.025,,,FALSE,FALSE,0,"CutV,CutD",7,100001385
100004186,4,000.935.021.006.00M,"Adjustable Safety Shelf, (30x14), Mahogany Impressions",1,26.97,0.025,,,FALSE,FALSE,0,"CutV,CutD",9,100001385
100004187,4,000.935.031.006.00M,"Adjustable Safety Shelf, (36x14), Mahogany Impressions",1,29.99,0.025,,,FALSE,FALSE,0,"CutV,CutD",11,100001385
100004188,4,000.935.041.006.00M,"Adjustable Safety Shelf, (42x14), Mahogany Impressions",1,36.02,0.025,,,FALSE,FALSE,0,"CutV,CutD",13,100001385
100004189,4,000.935.922.006.00M,"Adjustable Safety Shelf, (12x16), Mahogany Impressions",1,13.4,0.025,,,FALSE,FALSE,0,"CutV,CutD",4,100001385
100004190,4,000.935.982.006.00M,"Adjustable Safety Shelf, (18x16), Mahogany Impressions",1,17.93,0.025,,,FALSE,FALSE,0,"CutV,CutD",6,100001385
100004191,4,000.935.012.006.00M,"Adjustable Safety Shelf, (24x16), Mahogany Impressions",1,23.96,0.025,,,FALSE,FALSE,0,"CutV,CutD",8,100001385
100004192,4,000.935.022.006.00M,"Adjustable Safety Shelf, (30x16), Mahogany Impressions",1,28.48,0.025,,,FALSE,FALSE,0,"CutV,CutD",10,100001385
100004193,4,000.935.032.006.00M,"Adjustable Safety Shelf, (36x16), Mahogany Impressions",1,33,0.025,,,FALSE,FALSE,0,"CutV,CutD",12,100001385
100004194,4,000.935.042.006.00M,"Adjustable Safety Shelf, (42x16), Mahogany Impressions",1,37.52,0.025,,,FALSE,FALSE,0,"CutV,CutD",14,100001385
100004195,4,000.935.923.006.00M,"Adjustable Safety Shelf, (12x20), Mahogany Impressions",1,16.42,0.025,,,FALSE,FALSE,0,"CutV,CutD",5,100001385
100004196,4,000.935.983.006.00M,"Adjustable Safety Shelf, (18x20), Mahogany Impressions",1,20.94,0.025,,,FALSE,FALSE,0,"CutV,CutD",8,100001385
100004197,4,000.935.013.006.00M,"Adjustable Safety Shelf, (24x20), Mahogany Impressions",1,26.97,0.025,,,FALSE,FALSE,0,"CutV,CutD",10,100001385
100004198,4,000.935.023.006.00M,"Adjustable Safety Shelf, (30x20), Mahogany Impressions",1,31.49,0.025,,,FALSE,FALSE,0,"CutV,CutD",13,100001385
100004199,4,000.935.033.006.00M,"Adjustable Safety Shelf, (36x20), Mahogany Impressions",1,36.02,0.025,,,FALSE,FALSE,0,"CutV,CutD",15,100001385
100004200,4,000.935.043.006.00M,"Adjustable Safety Shelf, (42x20), Mahogany Impressions",1,40.54,0.025,,,FALSE,FALSE,0,"CutV,CutD",18,100001385
100004201,4,000.935.924.006.00M,"Adjustable Safety Shelf, (12x24), Mahogany Impressions",1,17.93,0.025,,,FALSE,FALSE,0,"CutV,CutD",6,100001385
100004202,4,000.935.984.006.00M,"Adjustable Safety Shelf, (18x24), Mahogany Impressions",1,25.46,0.025,,,FALSE,FALSE,0,"CutV,CutD",9,100001385
100004203,4,000.935.014.006.00M,"Adjustable Safety Shelf, (24x24), Mahogany Impressions",1,33,0.025,,,FALSE,FALSE,0,"CutV,CutD",12,100001385
100004204,4,000.935.024.006.00M,"Adjustable Safety Shelf, (30x24), Mahogany Impressions",1,40.54,0.025,,,FALSE,FALSE,0,"CutV,CutD",15,100001385
100004205,4,000.935.034.006.00M,"Adjustable Safety Shelf, (36x24), Mahogany Impressions",1,48.08,0.025,,,FALSE,FALSE,0,"CutV,CutD",18,100001385
100004206,4,000.935.044.006.00M,"Adjustable Safety Shelf, (42x24), Mahogany Impressions",1,55.61,0.025,,,FALSE,FALSE,0,"CutV,CutD",21,100001385
100004207,4,000.935.920.007.00M,"Adjustable Safety Shelf, (12x12), Chocolate Apple",1,10.39,0.025,,,FALSE,FALSE,0,"CutV,CutD",3,100001385
100004208,4,000.935.980.007.00M,"Adjustable Safety Shelf, (18x12), Chocolate Apple",1,14.91,0.025,,,FALSE,FALSE,0,"CutV,CutD",5,100001385
100004209,4,000.935.010.007.00M,"Adjustable Safety Shelf, (24x12), Chocolate Apple",1,17.93,0.025,,,FALSE,FALSE,0,"CutV,CutD",6,100001385
100004210,4,000.935.020.007.00M,"Adjustable Safety Shelf, (30x12), Chocolate Apple",1,22.45,0.025,,,FALSE,FALSE,0,"CutV,CutD",8,100001385
100004211,4,000.935.030.007.00M,"Adjustable Safety Shelf, (36x12), Chocolate Apple",1,25.46,0.025,,,FALSE,FALSE,0,"CutV,CutD",9,100001385
100004212,4,000.935.040.007.00M,"Adjustable Safety Shelf, (42x12), Chocolate Apple",1,29.99,0.025,,,FALSE,FALSE,0,"CutV,CutD",11,100001385
100004213,4,000.935.921.007.00M,"Adjustable Safety Shelf, (12x14), Chocolate Apple",1,11.9,0.025,,,FALSE,FALSE,0,"CutV,CutD",4,100001385
100004214,4,000.935.981.007.00M,"Adjustable Safety Shelf, (18x14), Chocolate Apple",1,16.42,0.025,,,FALSE,FALSE,0,"CutV,CutD",5,100001385
100004215,4,000.935.011.007.00M,"Adjustable Safety Shelf, (24x14), Chocolate Apple",1,22.45,0.025,,,FALSE,FALSE,0,"CutV,CutD",7,100001385
100004216,4,000.935.021.007.00M,"Adjustable Safety Shelf, (30x14), Chocolate Apple",1,26.97,0.025,,,FALSE,FALSE,0,"CutV,CutD",9,100001385
100004217,4,000.935.031.007.00M,"Adjustable Safety Shelf, (36x14), Chocolate Apple",1,29.99,0.025,,,FALSE,FALSE,0,"CutV,CutD",11,100001385
100004218,4,000.935.041.007.00M,"Adjustable Safety Shelf, (42x14), Chocolate Apple",1,36.02,0.025,,,FALSE,FALSE,0,"CutV,CutD",13,100001385
